,name,synonym
2977,Jasminum Officinale Flower Powder,Jasmine Flowers
1227,Jasminum Officinale Oil,Jasmine Oil
1404,Jasminum Sambac Flower Extract,"Jasmine Sambac Select, Jasmine Extract"
1811,Jasminum Officinale Flower Water,Jasmine Water
523,Coix Lacryma-Jobi Ma-Yuen Seed Extract,"Job's Tears Extract, Adlay Millet Extract,Chinese Pearl Barley Extract"
95,Simmondsia Chinensis Seed Oil,"Jojoba Oil, Jojoba"
214,Hydrogenated Jojoba Oil,Jojoba Wax Beads
2700,Yucca Brevifolia Root Extract,Joshua Tree
2179,Juniperus Communis Fruit Oil,"Juniper Berry Oil, Juniper Berry Essential Oil"
378,Terminalia Ferdinandiana Fruit Extract,Kakadu Plum Extract
1076,Terminalia Ferdinandiana Seed Oil,Kakadu Plum Seed Oil
648,Brassica Oleracea Acephala Leaf Extract,Kale Extract
2316,Brassica Oleracea Acephala Juice,Kale Juice
19077,Brassica Oleracea Acephala Powder,Kale Powder
120,Kaolin,"Kaolin Clay, White Clay, Pink Clay, Magnesium Silicate,China Clay"
531,Laminaria Ochroleuca Extract,Kelp Algae Extract
2632,Macrocystis Pyrifera,Kelp Powder
292,Tromethamine,"Ketorolac, Tris,Tham"
1915,Actinidia Deliciosa Fruit,Kiwi
2211,Actinidia Deliciosa Fruit Extract,"Kiwi Extract, Chinese Gooseberry"
558,Actinidia Chinensis Fruit Extract,Kiwi Fruit Extract
2016,Amorphophallus Konjac Root Extract,"Konjac, Konnyaku"
7388,Pueraria Montana Root Extract,Kudzu Root Extract
1044,Aleurites Moluccanus Seed Oil,"Kukui Nut Oil, Aleurites Moluccana Seed Oil,Candlenut"
569,Milk,"Lac, Cow's Milk"
1911,Alchemilla Vulgaris Extract,Lady's Mantle Extract
2219,Alchemilla Vulgaris Leaf Extract,Lady's Mantle Leaf
122,Linoleic Acid,"Lanolic Acid, Vitamin F"
219,Lanolin,"Lanolin Butter, Wool Fat,Wool Wax"
5812,Sodium Lauryl Sulfoacetate,Lanthanol Lal Powder
116,Arginine,"L-Arginine, (2s)-2-Amino-5-Guanidinopentanoic Acid"
3167,Lauryl Peg/Ppg-18/18 Methicone,Lauryl Peg/Ppg-18/18-Hydrogen Dimethicone
3127,Lavandula Hybrida Oil,Lavandin Essential Oil
595,Lavandula Angustifolia Extract,"Lavender (Lavandula Angustifolia) Extract, Lavender Extract"
2654,Lavandula Officinalis Flower Oil,Lavender 30/32 Essential Oil
1684,Lavandula Angustifolia Flower Extract,Lavender Flower Extract
