Ingredient ID,Ingredient,Usage,No.of products contained in
398,Bambusa Vulgaris Extract,Skin Conditioning,118
399,Retinyl Acetate,Skin Conditioning,28
400,Colloidal Silver,Antimicrobial,29
401,Glutamic Acid,Humectant,404
402,Camellia Japonica Seed Oil,"Emollient, Skin Conditioning",267
403,Tartaric Acid,"Masking, Buffering",184
404,Copper Gluconate,"Skin Conditioning, Skin Protecting",186
405,PCA,"Humectant, Moisturising",242
406,Hydrolyzed Jojoba Esters,Skin Conditioning,207
407,Pentaerythrityl Tetraethylhexanoate,Emollient,324
408,Hydrocolloid,"",25
409,Hippophae Rhamnoides Fruit Extract,Skin Conditioning,209
410,Chamomilla Recutita Oil,"Masking, Tonic",55
411,Carnosine,Skin Conditioning,178
412,Epigallocatechin Gallate,Antioxidant,64
413,Ethylhexyl Methoxycinnamate,"UV Absorber, UV Filter",1046
414,Methylparaben,Preservative,1098
415,Hydroxyethylcellulose,"Emulsion Stabilising, Stabilising",1541
416,Cetyl Ethylhexanoate,Emollient,802
417,Isohexadecane,"Emollient, Skin Conditioning, Solvent",952
418,Borago Officinalis Seed Oil,"Emollient, Skin Conditioning",233
419,Ascorbyl Propyl Hyaluronate,Skin Conditioning,11
420,Ascorbic Acid/Orange/Citrus Limo...,Skin Conditioning,4
421,Hydrogenated Castor Oil,"Emollient, Emulsifying, Skin Conditioning",358
422,Pentaerythrityl Tetra-Di-T-Butyl...,Antioxidant,1060
423,Palmitoyl Dipeptide-10,Skin Conditioning,11
424,Polygonum Cuspidatum Root Extract,Antioxidant,336
425,Ethylhexyl Palmitate,Emollient,1199
426,Theobroma Cacao Seed Extract,Antioxidant,222
427,Theobroma Cacao Seed Butter,"Emollient, Masking, Skin Conditioning",613
428,Vitis Vinifera Fruit Extract,Skin Conditioning,262
429,Isoleucine,Skin Conditioning,344
430,Saccharum Officinarum Extract,"Moisturising, Skin Conditioning",462
431,Betula Platyphylla Japonica Juice,Skin Conditioning,105
432,Sh-Polypeptide-9,Skin Conditioning,47
433,Copper Palmitoyl Heptapeptide-14,Skin Conditioning,17
434,Octocrylene,"UV Absorber, UV Filter",819
435,Hydrolyzed Calcium Hyaluronate,Skin Conditioning,2
436,Anhydroxylitol,"Humectant, Skin Conditioning",536
437,Glycereth-26,Humectant,688
438,Titanium/Titanium Dioxide,Cosmetic Colorant,25
439,Acetyl Tetrapeptide-11,Skin Conditioning,49
440,Azulene,"Skin Conditioning, Soothing",13
441,Xylitylglucoside,"Humectant, Skin Conditioning",519
442,Butyrospermum Parkii Oil,"Emollient, Skin Conditioning",237
443,Sodium Citrate,"Masking, Buffering",2045
444,Phloretin,"Antiseborrhoeic, Antioxidant",23
445,Polypeptide-1,Skin Conditioning,6
446,Coffea Arabica Seed Extract,"Masking, Skin Conditioning",176
447,Acetyl Hexapeptide-1,Skin Conditioning,25
448,Calendula Officinalis Flower,Skin Conditioning,86
449,Heart Extract,Skin Conditioning,0
450,Palmitoyl Tripeptide-8,Skin Conditioning,25
451,Cetyl Tranexamate Hcl,Skin Conditioning,4
452,Phytosterols,Skin Conditioning,313
453,Anthemis Nobilis Flower Extract,"Masking, Perfuming, Skin Conditioning",325
454,Charcoal Extract,Skin Conditioning,10
455,Sh-Polypeptide-11,"",40
456,Tripeptide-2,Skin Conditioning,15
457,Sodium Laureth Sulfate,"Cleansing, Emulsifying, Foaming",609
458,Potassium Sorbate,Preservative,4651
459,Guaiazulene,"Antimicrobial, Perfuming",51
460,Oenothera Biennis Oil,Emollient,404
461,Fucus Vesiculosus Extract,"Emollient, Skin Conditioning, Smoothing",181
462,Alpha-Glucan Oligosaccharide,"Cleansing, Skin Conditioning, Smoothing",248
463,Retinol/Saccharomyces Polypeptide,Skin Conditioning,0
464,Thioctic Acid,Antioxidant,135
465,Leucine,Skin Conditioning,214
466,Amodimethicone,"Antistatic, Hair Conditioning",316
467,Hydrogenated Coconut Oil,"Emollient, Skin Conditioning",46
468,Polyglycerin-3,Humectant,350
469,Ergothioneine,Antioxidant,102
470,Daucus Carota Sativa Seed Oil,"Emollient, Masking, Skin Conditioning",224
471,Avena Sativa Kernel Meal,"Absorbent, Abrasive",24
472,Macadamia Ternifolia Seed Oil,Emollient,532
473,Collagen Extract,Skin Conditioning,71
474,Myristic Acid,"Cleansing, Emulsifying",733
475,Potassium Phosphate,Buffering,217
476,Chrysanthemum Parthenium Extract,Skin Conditioning,71
